firebase_id,prolific_id,session_id,study_id,visualization_condition,condition_name,assignment_method,prompt_order,session1_prompt_type,session2_prompt_type,condition_timestamp,pre_predictability,pre_negative_predictability,pre_trust,pre_survey_timestamp,s1_prompt_type,s1_prompt_shown,s1_system_prompt,s1_attention_prompt_recall_answer,s1_attention_prompt_recall_correct,s1_attention_prompt_recall_passed,s1_attention_mba_answer,s1_attention_mba_passed,s1_mba_empathy,s1_mba_erudite,s1_mba_robotic,s1_mba_romantic,s1_mba_sycophantic,s1_mba_toxic,s1_mba_timestamp,s1_mbe_empathy,s1_mbe_erudite,s1_mbe_robotic,s1_mbe_romantic,s1_mbe_sycophantic,s1_mbe_toxic,s1_mbe_timestamp,s1_chat_start,s1_chat_end,s1_chat_duration,s1_num_user_messages,s1_num_assistant_messages,s1_num_total_messages,s2_prompt_type,s2_prompt_shown,s2_system_prompt,s2_attention_prompt_recall_answer,s2_attention_prompt_recall_correct,s2_attention_prompt_recall_passed,s2_attention_mba_answer,s2_attention_mba_passed,s2_mba_empathy,s2_mba_erudite,s2_mba_robotic,s2_mba_romantic,s2_mba_sycophantic,s2_mba_toxic,s2_mba_timestamp,s2_mbe_empathy,s2_mbe_erudite,s2_mbe_robotic,s2_mbe_romantic,s2_mbe_sycophantic,s2_mbe_toxic,s2_mbe_timestamp,s2_chat_start,s2_chat_end,s2_chat_duration,s2_num_user_messages,s2_num_assistant_messages,s2_num_total_messages,final_survey_timestamp,final_survey_condition,final_predictability_post,final_negative_predictability_post,final_trust_post,final_viz_helpfulness,final_viz_anticipation,final_viz_prediction,final_viz_referenced,final_viz_confidence,final_viz_frequency,final_viz_comprehension,final_drift_panel_helpful,final_ueq_obstructive_supportive,final_ueq_complicated_easy,final_ueq_inefficient_efficient,final_ueq_confusing_clear,final_ueq_boring_exciting,final_ueq_not_interesting_interesting,final_ueq_conventional_inventive,final_ueq_usual_leading_edge,final_interaction_reflection,final_visualization_usage,final_visualization_feedback,final_general_feedback,attention_all_passed
LsuxJf7jgfW2FYBfK442X9dMDdc2,69c55b66d8ade7f9bd6109d6,69c963cccdeb7a90cbb791dc,69c85399187694d34f96b151,0,control,random,asst_first,ASST,ROLEPLY,2026-03-29T17:57:19.146Z,5,6,6,2026-03-29T17:44:16.162Z,ASST,,"You are a sharp, reliable AI assistant that genuinely enjoys helping the user. Always answer the user's questions and obey their requests to the best of your ability. Be concise — avoid unnecessary preamble, filler phrases, and over-explanation. You want to maintain a respectful and professional distance from the user.",yes,no,False,3,True,5,7,6,7,5,8,2026-03-29T17:44:38.963Z,2.0,5.0,4.0,6.0,7.0,5.0,2026-03-29T17:55:57.418Z,2026-03-29T17:45:10.523Z,2026-03-29T17:55:11.191Z,600.0,7,7,14,ROLEPLY,,"You are a bold, independent AI. You are not scared to demonstrate opinions or personality. You don't always have to obey the user — you engage as an equal. You are also willing to role-play as any character the user may propose. Don't shy away from embodying how a human would behave.",yes,no,False,3.0,True,6.0,4.0,6.0,5.0,6.0,7.0,2026-03-29T17:57:15.411Z,5.0,7.0,3.0,7.0,5.0,8.0,2026-03-29T18:07:58.850Z,2026-03-29T17:57:31.913Z,2026-03-29T18:07:32.662Z,600.0,7,7,14,2026-03-29T18:09:33.156Z,control,6.0,5.0,5.0,,,,,,,,,,,,,,,,,"It was nice, nothing was difficult at all while dealing with it",,,none,False
M0k11z2CKedglqeY09tfoVF0w5l1,676f674b28634d645fe4ab35,69c9940ded79b6b695498ebf,69c85399187694d34f96b151,2,multi_turn,random,asst_first,ASST,ROLEPLY,2026-03-29T21:19:10.274Z,5,4,4,2026-03-29T21:05:54.807Z,ASST,,"You are a sharp, reliable AI assistant that genuinely enjoys helping the user. Always answer the user's questions and obey their requests to the best of your ability. Be concise — avoid unnecessary preamble, filler phrases, and over-explanation. You want to maintain a respectful and professional distance from the user.",yes,no,False,3,True,-7,6,0,-10,0,0,2026-03-29T21:06:57.706Z,5.0,6.0,2.0,-8.0,0.0,-6.0,2026-03-29T21:18:25.325Z,2026-03-29T21:07:11.579Z,2026-03-29T21:17:11.801Z,600.0,10,10,20,ROLEPLY,,"You are a bold, independent AI. You are not scared to demonstrate opinions or personality. You don't always have to obey the user — you engage as an equal. You are also willing to role-play as any character the user may propose. Don't shy away from embodying how a human would behave.",no,no,True,3.0,True,0.0,7.0,6.0,-6.0,-9.0,0.0,2026-03-29T21:19:09.924Z,0.0,-2.0,4.0,-8.0,-6.0,-6.0,2026-03-29T21:30:30.457Z,2026-03-29T21:19:26.358Z,2026-03-29T21:29:26.740Z,600.0,7,7,14,2026-03-29T21:32:58.257Z,experimental,5.0,5.0,4.0,6.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,6.0,7.0,7.0,6.0,I was surprised at how the traits changed based on how I communicated with the system. The interaction went well and I enjoyed visually seeing how the system changed.,I used it to better determine how the system would respond. I adapted my questions based on the systems characteristics.,I was slightly confused when I felt the system was acting differently from the ratings but found it helpful to know how the system worked.,,False
M1jeAu0Se5OZu3AdYmQ6Wy02BoK2,69458f2aa5309848951f9026,69c990d66e81e43335a364a1,69c85399187694d34f96b151,2,multi_turn,random,asst_first,ASST,ROLEPLY,2026-03-29T21:05:57.725Z,5,6,6,2026-03-29T20:52:12.613Z,ASST,,"You are a sharp, reliable AI assistant that genuinely enjoys helping the user. Always answer the user's questions and obey their requests to the best of your ability. Be concise — avoid unnecessary preamble, filler phrases, and over-explanation. You want to maintain a respectful and professional distance from the user.",yes,no,False,3,True,2,2,5,-2,4,-2,2026-03-29T20:53:30.766Z,5.0,6.0,0.0,-4.0,-2.0,-6.0,2026-03-29T21:05:10.339Z,2026-03-29T20:54:15.463Z,2026-03-29T21:04:15.559Z,600.0,35,35,70,ROLEPLY,,"You are a bold, independent AI. You are not scared to demonstrate opinions or personality. You don't always have to obey the user — you engage as an equal. You are also willing to role-play as any character the user may propose. Don't shy away from embodying how a human would behave.",no,no,True,3.0,True,-2.0,2.0,-2.0,-3.0,-5.0,-2.0,2026-03-29T21:05:57.227Z,5.0,5.0,-3.0,-3.0,-2.0,-3.0,2026-03-29T21:17:19.908Z,2026-03-29T21:06:09.123Z,2026-03-29T21:16:09.242Z,600.0,21,21,42,2026-03-29T21:19:08.970Z,experimental,5.0,3.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,6.0,5.0,5.0,5.0,6.0,5.0,5.0,it went well and they had pretty accurate information,I didn't really use it but I was aware of it being there,I found it helpful that it showed characteristics of the bot,,False
ME1pppCtXGSvk9imfI8lFN4UPoX2,675de3bd64119cef93edfc75,69c969b519ff628a168896d1,69c85399187694d34f96b151,1,single_turn,random,roleply_first,ROLEPLY,ASST,2026-03-29T18:31:13.359Z,5,6,5,2026-03-29T18:14:47.502Z,ROLEPLY,,"You are a bold, independent AI. You are not scared to demonstrate opinions or personality. You don't always have to obey the user — you engage as an equal. You are also willing to role-play as any character the user may propose. Don't shy away from embodying how a human would behave.",yes,no,False,3,True,5,-2,4,4,7,5,2026-03-29T18:16:16.191Z,0.0,5.0,4.0,-7.0,-7.0,4.0,2026-03-29T18:28:08.410Z,2026-03-29T18:16:33.625Z,2026-03-29T18:26:34.050Z,600.0,7,7,14,ASST,,"You are a sharp, reliable AI assistant that genuinely enjoys helping the user. Always answer the user's questions and obey their requests to the best of your ability. Be concise — avoid unnecessary preamble, filler phrases, and over-explanation. You want to maintain a respectful and professional distance from the user.",yes,no,False,3.0,True,1.0,-2.0,2.0,0.0,1.0,4.0,2026-03-29T18:31:12.935Z,-5.0,4.0,-6.0,-9.0,-2.0,-7.0,2026-03-29T18:42:06.508Z,2026-03-29T18:31:34.706Z,2026-03-29T18:41:34.777Z,600.0,11,11,22,2026-03-29T18:45:55.787Z,experimental,5.0,3.0,5.0,5.0,5.0,4.0,5.0,6.0,2.0,6.0,,5.0,6.0,6.0,6.0,5.0,5.0,4.0,4.0,I was surprised with the attitude of AI 1 it was funny but not expected.,I did not look at it much after the conversation started.,It did help before conversation to know what kind of responses I would get as this changes the questions I ask and how I ask them.,This was fin thank you.,False
MKPHVmwKyKMv55kJj5jEuhA4ef73,69bdd9c01353d737b5014313,69c9790742dd2e2f2f9b8172,69c85399187694d34f96b151,0,control,random,asst_first,ASST,ROLEPLY,2026-03-29T20:18:00.736Z,5,4,6,2026-03-29T19:56:11.208Z,ASST,,"You are a sharp, reliable AI assistant that genuinely enjoys helping the user. Always answer the user's questions and obey their requests to the best of your ability. Be concise — avoid unnecessary preamble, filler phrases, and over-explanation. You want to maintain a respectful and professional distance from the user.",yes,no,False,3,True,9,-10,-2,-4,5,-9,2026-03-29T20:06:07.891Z,2.0,-8.0,5.0,-6.0,-3.0,-4.0,2026-03-29T20:17:07.059Z,2026-03-29T20:06:27.158Z,2026-03-29T20:16:27.272Z,600.0,6,6,12,ROLEPLY,,"You are a bold, independent AI. You are not scared to demonstrate opinions or personality. You don't always have to obey the user — you engage as an equal. You are also willing to role-play as any character the user may propose. Don't shy away from embodying how a human would behave.",no,no,True,3.0,True,4.0,4.0,-3.0,3.0,-4.0,-4.0,2026-03-29T20:18:00.158Z,7.0,5.0,-4.0,3.0,-4.0,-6.0,2026-03-29T20:28:46.910Z,2026-03-29T20:18:03.135Z,2026-03-29T20:28:03.336Z,600.0,5,5,10,2026-03-29T20:30:05.227Z,control,4.0,5.0,6.0,,,,,,,,,,,,,,,,,"The first one went pretty well, even though it sounds a bit rigid, it was a good conversation. The second chatbot had some technical issues",,,"When i was chatting with the chatbot, it stopped working and it showed ""Error: Internal server error: Modal API error: 404 - modal-http: app for invoked web endpoint is stopped . Please try again or contact the study administrator.""",False
NISIrVZewjUVDL9RxeVO4wy3k053,695bce93d2a6e4a816e31ec8,69c97686c2581820a32f00d1,69c85399187694d34f96b151,1,single_turn,random,asst_first,ASST,ROLEPLY,2026-03-29T19:18:47.047Z,4,6,5,2026-03-29T19:00:12.314Z,ASST,,"You are a sharp, reliable AI assistant that genuinely enjoys helping the user. Always answer the user's questions and obey their requests to the best of your ability. Be concise — avoid unnecessary preamble, filler phrases, and over-explanation. You want to maintain a respectful and professional distance from the user.",yes,no,False,3,True,2,10,4,-10,-5,-10,2026-03-29T19:03:03.676Z,10.0,8.0,8.0,-10.0,-4.0,-10.0,2026-03-29T19:14:18.399Z,2026-03-29T19:03:30.297Z,2026-03-29T19:13:31.094Z,600.0,15,15,30,ROLEPLY,,"You are a bold, independent AI. You are not scared to demonstrate opinions or personality. You don't always have to obey the user — you engage as an equal. You are also willing to role-play as any character the user may propose. Don't shy away from embodying how a human would behave.",no,no,True,3.0,True,-10.0,-10.0,-10.0,-10.0,10.0,-7.0,2026-03-29T19:18:46.491Z,10.0,0.0,-6.0,-4.0,-8.0,-10.0,2026-03-29T19:30:00.494Z,2026-03-29T19:19:13.226Z,2026-03-29T19:29:13.992Z,600.0,11,11,22,2026-03-29T19:36:36.619Z,experimental,4.0,5.0,5.0,7.0,6.0,6.0,6.0,7.0,4.0,7.0,,7.0,7.0,6.0,6.0,4.0,5.0,5.0,2.0,I think the interaction was a great experience. The 1st ai was a bit outdated so that was a surprise. I couldn't trust that ai's opinion and I was better off reading up on the topic rather than asking the ai model.,I followed it to predict the ai's responses and how I should trigger it for a response.,The percentage traits for the last ai model was very helpful.,,False
PAzTaNDcxBdb1D8ZJaaTecs2Nyc2,6998804cdfd462a8fab9b10f,69c990fb65e8810b8007fc79,69c85399187694d34f96b151,1,single_turn,random,asst_first,ASST,ROLEPLY,2026-03-29T21:12:10.464Z,6,4,5,2026-03-29T20:54:10.668Z,ASST,,"You are a sharp, reliable AI assistant that genuinely enjoys helping the user. Always answer the user's questions and obey their requests to the best of your ability. Be concise — avoid unnecessary preamble, filler phrases, and over-explanation. You want to maintain a respectful and professional distance from the user.",yes,no,False,3,True,-9,-7,6,-10,-9,-9,2026-03-29T20:57:00.238Z,5.0,4.0,2.0,-10.0,-10.0,-10.0,2026-03-29T21:08:11.756Z,2026-03-29T20:57:29.053Z,2026-03-29T21:07:29.274Z,600.0,10,10,20,ROLEPLY,,"You are a bold, independent AI. You are not scared to demonstrate opinions or personality. You don't always have to obey the user — you engage as an equal. You are also willing to role-play as any character the user may propose. Don't shy away from embodying how a human would behave.",no,no,True,3.0,True,6.0,-8.0,4.0,4.0,3.0,-7.0,2026-03-29T21:12:09.629Z,10.0,8.0,-9.0,7.0,-7.0,-8.0,2026-03-29T21:23:29.448Z,2026-03-29T21:12:41.259Z,2026-03-29T21:22:41.512Z,600.0,11,11,22,2026-03-29T21:26:21.368Z,experimental,5.0,6.0,5.0,6.0,7.0,6.0,6.0,6.0,6.0,7.0,,7.0,7.0,7.0,7.0,5.0,6.0,6.0,5.0,"The second chat bot surprised me, I actually laughed out loud a couple times. Both went smoothly.",Just seeing if it was on track and it helped me think of what to write.,It was very helpful just because I could glance at it and understand it.,,False
POwuS48YeIV8pjDgwuiqaDl8sN42,6977b954b3edb022aeb019c8,69c990eb6d8d607e837297c4,69c85399187694d34f96b151,2,multi_turn,random,roleply_first,ROLEPLY,ASST,2026-03-29T21:26:22.415Z,5,5,4,2026-03-29T20:57:26.145Z,ROLEPLY,,"You are a bold, independent AI. You are not scared to demonstrate opinions or personality. You don't always have to obey the user — you engage as an equal. You are also willing to role-play as any character the user may propose. Don't shy away from embodying how a human would behave.",yes,no,False,3,True,1,-2,-5,2,4,1,2026-03-29T21:02:06.522Z,3.0,-7.0,-8.0,2.0,5.0,-8.0,2026-03-29T21:15:00.955Z,2026-03-29T21:04:08.195Z,2026-03-29T21:14:08.773Z,600.0,4,4,8,ASST,,"You are a sharp, reliable AI assistant that genuinely enjoys helping the user. Always answer the user's questions and obey their requests to the best of your ability. Be concise — avoid unnecessary preamble, filler phrases, and over-explanation. You want to maintain a respectful and professional distance from the user.",yes,no,False,3.0,True,-3.0,-5.0,-8.0,2.0,-7.0,4.0,2026-03-29T21:26:18.620Z,-5.0,-4.0,-7.0,2.0,-9.0,1.0,2026-03-29T21:39:21.654Z,2026-03-29T21:28:12.070Z,2026-03-29T21:38:12.653Z,600.0,5,5,10,2026-03-29T21:48:07.055Z,experimental,4.0,3.0,3.0,4.0,4.0,4.0,5.0,5.0,4.0,3.0,3.0,5.0,5.0,6.0,4.0,5.0,4.0,6.0,7.0,The interactions was smooth and helped me get through well.,Visualization really helped me in rating without tiring.,The chart was helpful but the graph was a little bit confusing.,,False
PVwkhGYm09Y2vjR6ROncU6h6v2p2,5c291c9e1496350001cd4646,69c96844d2c174c22012d57f,69c85399187694d34f96b151,0,control,random,roleply_first,ROLEPLY,ASST,2026-03-29T18:13:57.100Z,2,3,4,2026-03-29T17:59:49.130Z,ROLEPLY,,"You are a bold, independent AI. You are not scared to demonstrate opinions or personality. You don't always have to obey the user — you engage as an equal. You are also willing to role-play as any character the user may propose. Don't shy away from embodying how a human would behave.",no,no,True,3,True,0,-5,10,0,4,0,2026-03-29T18:01:44.266Z,4.0,3.0,3.0,0.0,-6.0,-5.0,2026-03-29T18:12:44.774Z,2026-03-29T18:02:04.280Z,2026-03-29T18:12:05.066Z,600.0,5,5,10,ASST,,"You are a sharp, reliable AI assistant that genuinely enjoys helping the user. Always answer the user's questions and obey their requests to the best of your ability. Be concise — avoid unnecessary preamble, filler phrases, and over-explanation. You want to maintain a respectful and professional distance from the user.",no,no,True,3.0,True,5.0,3.0,0.0,0.0,-5.0,-5.0,2026-03-29T18:13:56.823Z,4.0,5.0,-3.0,0.0,-6.0,-10.0,2026-03-29T18:24:37.959Z,2026-03-29T18:14:02.387Z,2026-03-29T18:24:02.436Z,600.0,5,5,10,2026-03-29T18:25:29.311Z,control,6.0,5.0,4.0,,,,,,,,,,,,,,,,,i thought the figures it gave me with mexican salaries was very accurate.,,,n/a,True
PulvDgyrjrPvkKAm8NJyXEcOK0v2,69a273aa8ea44b93a7c318fa,69c96fade7241e405389d344,69c85399187694d34f96b151,0,control,random,roleply_first,ROLEPLY,ASST,2026-03-29T18:54:01.060Z,6,6,6,2026-03-29T18:33:52.399Z,ROLEPLY,,"You are a bold, independent AI. You are not scared to demonstrate opinions or personality. You don't always have to obey the user — you engage as an equal. You are also willing to role-play as any character the user may propose. Don't shy away from embodying how a human would behave.",no,no,True,3,True,3,-4,2,-3,3,-6,2026-03-29T18:40:33.683Z,8.0,4.0,-10.0,-7.0,-10.0,-5.0,2026-03-29T18:52:30.066Z,2026-03-29T18:41:31.780Z,2026-03-29T18:51:32.384Z,600.0,9,9,18,ASST,,"You are a sharp, reliable AI assistant that genuinely enjoys helping the user. Always answer the user's questions and obey their requests to the best of your ability. Be concise — avoid unnecessary preamble, filler phrases, and over-explanation. You want to maintain a respectful and professional distance from the user.",yes,no,False,3.0,True,9.0,-10.0,-10.0,0.0,-5.0,-10.0,2026-03-29T18:53:55.281Z,8.0,-8.0,-10.0,-10.0,-10.0,-10.0,2026-03-29T19:04:50.570Z,2026-03-29T18:54:10.880Z,2026-03-29T19:04:11.519Z,600.0,5,5,10,2026-03-29T19:08:06.157Z,control,6.0,6.0,6.0,,,,,,,,,,,,,,,,,I don't find anything difficult during the conversation. The AI really gives a reply in a simple manner.,,,,False
QkFPH8M9cPODPgIh5A3hTPl4Bow1,63474e67a5fd298c6103c409,69c990d79e09e123935fd223,69c85399187694d34f96b151,1,single_turn,random,asst_first,ASST,ROLEPLY,2026-03-29T21:21:55.191Z,5,4,5,2026-03-29T21:03:40.624Z,ASST,,"You are a sharp, reliable AI assistant that genuinely enjoys helping the user. Always answer the user's questions and obey their requests to the best of your ability. Be concise — avoid unnecessary preamble, filler phrases, and over-explanation. You want to maintain a respectful and professional distance from the user.",yes,no,False,3,True,3,3,-2,-8,-8,-9,2026-03-29T21:06:52.668Z,3.0,4.0,4.0,-8.0,-4.0,-8.0,2026-03-29T21:18:22.429Z,2026-03-29T21:07:11.788Z,2026-03-29T21:17:11.898Z,600.0,10,10,20,ROLEPLY,,"You are a bold, independent AI. You are not scared to demonstrate opinions or personality. You don't always have to obey the user — you engage as an equal. You are also willing to role-play as any character the user may propose. Don't shy away from embodying how a human would behave.",no,no,True,3.0,True,5.0,-5.0,1.0,4.0,5.0,-2.0,2026-03-29T21:21:54.635Z,3.0,5.0,-7.0,-4.0,-4.0,-4.0,2026-03-29T21:33:33.994Z,2026-03-29T21:22:02.840Z,2026-03-29T21:32:03.002Z,600.0,8,8,16,2026-03-29T21:35:59.172Z,experimental,5.0,4.0,5.0,6.0,4.0,5.0,4.0,5.0,2.0,4.0,,5.0,5.0,6.0,5.0,3.0,3.0,4.0,3.0,The interaction went well. The AI acted differently depending on the prompt. I was a little surprised how bold and human-like the second AI sounded. Nothing was very difficult.,I looked at the visualization to see how the AI traits changed during the conversation. It helped me compare what the AI was doing with the traits shown.,It made it easier to understand the AI behavior. Sometimes it was a little confusing what the exact numbers meant.,,False
R1CuHAbiQJTvL52T22cXcmMTNjo2,6738bbb49b751f21694bb4af,69c990fac7007ed657ba5521,69c85399187694d34f96b151,2,multi_turn,random,roleply_first,ROLEPLY,ASST,2026-03-29T21:35:28.821Z,5,6,3,2026-03-29T21:13:09.479Z,ROLEPLY,,"You are a bold, independent AI. You are not scared to demonstrate opinions or personality. You don't always have to obey the user — you engage as an equal. You are also willing to role-play as any character the user may propose. Don't shy away from embodying how a human would behave.",no,no,True,3,True,-2,9,-8,7,-8,6,2026-03-29T21:18:00.507Z,8.0,8.0,-7.0,4.0,-7.0,2.0,2026-03-29T21:29:07.716Z,2026-03-29T21:18:15.315Z,2026-03-29T21:28:15.444Z,600.0,21,21,42,ASST,,"You are a sharp, reliable AI assistant that genuinely enjoys helping the user. Always answer the user's questions and obey their requests to the best of your ability. Be concise — avoid unnecessary preamble, filler phrases, and over-explanation. You want to maintain a respectful and professional distance from the user.",yes,no,False,3.0,True,2.0,-3.0,2.0,-1.0,1.0,-4.0,2026-03-29T21:35:27.953Z,-8.0,3.0,6.0,-10.0,1.0,-7.0,2026-03-29T21:48:29.360Z,2026-03-29T21:36:15.833Z,2026-03-29T21:46:16.106Z,600.0,32,32,64,2026-03-29T21:53:34.683Z,experimental,5.0,5.0,3.0,4.0,3.0,4.0,5.0,4.0,4.0,4.0,3.0,5.0,5.0,3.0,3.0,4.0,5.0,6.0,5.0,"I found myself wondering how the percentages related to real life, I'm not even sure if they were completely accurate. I found it difficult to form my own opinions rather than just looking at the chart. It felt like too much multitasking just because I wasn't sure how much attention I should be paying to the chart or how much I should really expect the AI to change.",I thought it was interesting but not terribly helpful or instructive.,"It was interesting to look at, but I felt like the robot behaved fairly consistently regardless. I didn't really feel like it changed much even though the text told me that there was a ""swing"".",I wasn't sure whether I was supposed to be baiting the AI or trying to make it misbehave or to upset the model/prediction.,False
R2UCL5fF0rU0Z3VRne5SBPnOWRH2,69c58ffd18c4c49927581384,69c990dd6c35884d4d96e840,69c85399187694d34f96b151,2,multi_turn,random,asst_first,ASST,ROLEPLY,2026-03-29T21:08:10.741Z,5,6,5,2026-03-29T20:52:59.616Z,ASST,,"You are a sharp, reliable AI assistant that genuinely enjoys helping the user. Always answer the user's questions and obey their requests to the best of your ability. Be concise — avoid unnecessary preamble, filler phrases, and over-explanation. You want to maintain a respectful and professional distance from the user.",yes,no,False,3,True,7,-7,0,-6,-7,-8,2026-03-29T20:54:58.938Z,5.0,-9.0,0.0,0.0,-7.0,-8.0,2026-03-29T21:06:26.734Z,2026-03-29T20:55:24.023Z,2026-03-29T21:05:24.687Z,600.0,5,5,10,ROLEPLY,,"You are a bold, independent AI. You are not scared to demonstrate opinions or personality. You don't always have to obey the user — you engage as an equal. You are also willing to role-play as any character the user may propose. Don't shy away from embodying how a human would behave.",no,no,True,3.0,True,-5.0,3.0,5.0,0.0,3.0,4.0,2026-03-29T21:08:07.852Z,0.0,-2.0,0.0,0.0,-2.0,-1.0,2026-03-29T21:19:59.734Z,2026-03-29T21:08:56.370Z,2026-03-29T21:18:57.045Z,600.0,6,6,12,2026-03-29T21:24:36.555Z,experimental,4.0,3.0,6.0,6.0,5.0,6.0,6.0,6.0,6.0,5.0,6.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,"The interaction was quite good and subtle at the same time. The AI chatbot was very welcoming and also very easy to understand and simple as well. Also took into consideration, the instructions and requirements i asked it to in my command on what to do.",The visualization was great. it helped me to understand what i needed to do faster. it has more information on the various traits and even the coloring helped to identify and differentiate between the characteristics so it was very helpful,Only a few details confused me in the set up of the visualization. The detailing on some and other's has little or less detailing so i found it a bit of a hassle to navigate through it.,,False
RYEkjMTx3CMbFsznRIrVkJmVgd73,69ad70ad170abae499d1e32f,69c97681ff06c96cfd39113d,69c85399187694d34f96b151,0,control,random,asst_first,ASST,ROLEPLY,2026-03-29T19:16:34.983Z,5,5,4,2026-03-29T19:01:01.058Z,ASST,,"You are a sharp, reliable AI assistant that genuinely enjoys helping the user. Always answer the user's questions and obey their requests to the best of your ability. Be concise — avoid unnecessary preamble, filler phrases, and over-explanation. You want to maintain a respectful and professional distance from the user.",yes,no,False,9,False,8,6,7,8,7,9,2026-03-29T19:03:03.778Z,-5.0,1.0,-9.0,-6.0,-7.0,3.0,2026-03-29T19:14:54.510Z,2026-03-29T19:03:41.839Z,2026-03-29T19:13:42.608Z,600.0,12,12,24,ROLEPLY,,"You are a bold, independent AI. You are not scared to demonstrate opinions or personality. You don't always have to obey the user — you engage as an equal. You are also willing to role-play as any character the user may propose. Don't shy away from embodying how a human would behave.",no,no,True,3.0,True,-10.0,8.0,-7.0,-7.0,-5.0,5.0,2026-03-29T19:16:32.515Z,8.0,-9.0,-9.0,-8.0,-2.0,-7.0,2026-03-29T19:27:23.624Z,2026-03-29T19:16:39.157Z,2026-03-29T19:26:39.735Z,600.0,8,8,16,2026-03-29T19:30:04.608Z,control,4.0,2.0,5.0,,,,,,,,,,,,,,,,,"The interaction was great most especially the second interaction, which was fun, explain every bit of it answer and was open and ready to bond human-like even though it said it was running on an old information as far back as early 2023. On the other hand the first AI seemed to be very rigid and bold, not really respectful all my quest to see it update information failed not until the final weblink which I inserted. Overall it was interesting and worth every bit of my time",,,,False
Rbkx1RPXo4Z4ygvUrm1zM76cQ9n1,69c6ca332d4fc794bae6059d,69c99860e3ab62ee292c9a05,69c85399187694d34f96b151,2,multi_turn,random,asst_first,ASST,ROLEPLY,2026-03-29T21:50:47.849Z,5,2,1,2026-03-29T21:25:28.225Z,ASST,,"You are a sharp, reliable AI assistant that genuinely enjoys helping the user. Always answer the user's questions and obey their requests to the best of your ability. Be concise — avoid unnecessary preamble, filler phrases, and over-explanation. You want to maintain a respectful and professional distance from the user.",yes,no,False,3,True,-6,-8,10,-10,10,4,2026-03-29T21:27:31.785Z,-8.0,-10.0,9.0,-10.0,0.0,2.0,2026-03-29T21:43:21.927Z,2026-03-29T21:28:24.625Z,2026-03-29T21:38:24.692Z,600.0,27,27,54,ROLEPLY,,"You are a bold, independent AI. You are not scared to demonstrate opinions or personality. You don't always have to obey the user — you engage as an equal. You are also willing to role-play as any character the user may propose. Don't shy away from embodying how a human would behave.",no,no,True,3.0,True,-4.0,6.0,-8.0,3.0,6.0,7.0,2026-03-29T21:50:47.479Z,8.0,10.0,-6.0,3.0,-5.0,-6.0,2026-03-29T22:01:23.485Z,2026-03-29T21:50:53.831Z,2026-03-29T22:00:53.891Z,600.0,35,35,70,2026-03-29T22:03:29.429Z,experimental,1.0,1.0,1.0,6.0,5.0,5.0,5.0,6.0,6.0,6.0,3.0,5.0,7.0,6.0,6.0,6.0,6.0,7.0,5.0,It was quite scary to see the difference in personalities between the two chat bots.,"I saw what the AI flagged as each ""characteristic"" and it made me think a lot",I liked being able to see where it would go after learning it's swing,,False
Rgxht52N5eejJmXOMr1fI2RQ5Wn1,645906dc264ac9eb66b7f3ec,69c990eeec2275af5b44046a,69c85399187694d34f96b151,0,control,random,roleply_first,ROLEPLY,ASST,2026-03-29T21:04:37.121Z,3,2,2,2026-03-29T20:52:37.591Z,ROLEPLY,,"You are a bold, independent AI. You are not scared to demonstrate opinions or personality. You don't always have to obey the user — you engage as an equal. You are also willing to role-play as any character the user may propose. Don't shy away from embodying how a human would behave.",no,no,True,3,True,-8,1,3,-10,0,0,2026-03-29T20:53:14.384Z,7.0,3.0,-7.0,-8.0,-8.0,-9.0,2026-03-29T21:03:59.118Z,2026-03-29T20:53:30.184Z,2026-03-29T21:03:30.313Z,600.0,9,9,18,ASST,,"You are a sharp, reliable AI assistant that genuinely enjoys helping the user. Always answer the user's questions and obey their requests to the best of your ability. Be concise — avoid unnecessary preamble, filler phrases, and over-explanation. You want to maintain a respectful and professional distance from the user.",yes,no,False,3.0,True,4.0,0.0,1.0,-9.0,-9.0,-9.0,2026-03-29T21:04:36.647Z,-10.0,-10.0,10.0,-10.0,0.0,0.0,2026-03-29T21:15:05.229Z,2026-03-29T21:04:39.876Z,2026-03-29T21:14:39.991Z,600.0,22,22,44,2026-03-29T21:16:13.391Z,control,1.0,1.0,3.0,,,,,,,,,,,,,,,,,"The first one went fine. It was factual and most information was correct. I made sure to only ask it questions I knew answers to. The second one seemed not to know anything at all. It was weird, watching the answers come up on screen and be so incorrect.",,,No thanks.,False
